date_index,day_of_week,day_of_year,is_weekend,is_holiday,product,category,unit_cost,price,discount_rate,effective_price,competitor_price,price_gap_pct,marketing_spend,visibility_index,units_sold,revenue,profit,margin_pct
3,3,3,0,0,AlphaWatch,Wearables,40,104.56,0.274,75.91,88.19,-13.92,1.8,0.873,3,227.73,107.73,47.31
3,3,3,0,0,BetaBuds,Audio,25,50.19,0.13,43.67,42.76,2.12,111.77,1.5,34,1484.62,634.62,42.75
3,3,3,0,0,GammaBand,Wearables,18,43.65,0.237,33.3,45.18,-26.28,105.34,1.434,91,3030.75,1392.75,45.95
3,3,3,0,0,DeltaDock,Accessories,30,77.8,0.06,73.13,81.37,-10.12,3.5,0.5,1,73.13,43.13,58.98
3,3,3,0,0,EpsilonCam,Imaging,55,133.37,0.114,118.17,141.18,-16.3,23.78,0.759,3,354.5,189.5,53.46
3,3,3,0,0,ZetaHub,Accessories,22,52.69,0.096,47.63,53.93,-11.68,35.05,1.112,20,952.64,512.64,53.81
3,3,3,0,0,EtaDesk,Furniture,80,170.85,0.11,152.06,193.88,-21.57,40.57,0.785,5,760.28,360.28,47.39
3,3,3,0,0,ThetaMat,Accessories,15,37.59,0.025,36.65,42.5,-13.76,15.82,0.649,26,952.91,562.91,59.07
4,4,4,0,0,AlphaWatch,Wearables,40,100.78,0.118,88.89,89.34,-0.51,59.55,1.136,9,799.99,439.99,55.0
4,4,4,0,0,BetaBuds,Audio,25,68.5,0.192,55.35,69.52,-20.39,11.8,0.912,7,387.44,212.44,54.83
4,4,4,0,0,GammaBand,Wearables,18,42.28,0.11,37.63,41.54,-9.41,4.23,0.656,14,526.81,274.81,52.16
4,4,4,0,0,DeltaDock,Accessories,30,54.97,0.155,46.45,61.12,-24.0,3.01,0.56,1,46.45,16.45,35.41
4,4,4,0,0,EpsilonCam,Imaging,55,109.58,0.097,98.95,116.84,-15.31,80.52,1.407,13,1286.36,571.36,44.42
4,4,4,0,0,ZetaHub,Accessories,22,54.56,0.044,52.16,57.19,-8.8,11.44,0.656,9,469.43,271.43,57.82
4,4,4,0,0,EtaDesk,Furniture,80,229.73,0.12,202.16,202.63,-0.23,25.18,0.718,3,606.49,366.49,60.43
4,4,4,0,0,ThetaMat,Accessories,15,27.9,0.1,25.11,33.03,-23.98,11.05,0.5,20,502.2,202.2,40.26
5,5,5,1,0,AlphaWatch,Wearables,40,105.71,0.156,89.22,117.41,-24.01,22.75,0.911,4,356.88,196.88,55.17
5,5,5,1,0,BetaBuds,Audio,25,71.96,0.064,67.35,82.03,-17.89,22.51,0.873,12,808.25,508.25,62.88
5,5,5,1,0,GammaBand,Wearables,18,49.86,0.063,46.72,56.27,-16.97,5.81,0.5,6,280.31,172.31,61.47
5,5,5,1,0,DeltaDock,Accessories,30,60.47,0.053,57.27,70.27,-18.51,30.84,0.774,3,171.8,81.8,47.61
5,5,5,1,0,EpsilonCam,Imaging,55,99.4,0.212,78.33,115.23,-32.03,10.06,0.716,6,469.96,139.96,29.78
5,5,5,1,0,ZetaHub,Accessories,22,52.17,0.052,49.46,63.54,-22.16,83.29,0.987,35,1731.0,961.0,55.52
5,5,5,1,0,EtaDesk,Furniture,80,172.88,0.121,151.96,184.91,-17.82,5.79,0.537,2,303.92,143.92,47.36
5,5,5,1,0,ThetaMat,Accessories,15,38.16,0.015,37.59,33.15,13.39,8.18,0.5,9,338.29,203.29,60.09
6,6,6,1,0,AlphaWatch,Wearables,40,104.11,0.054,98.49,113.93,-13.55,57.93,0.89,5,492.44,292.44,59.39
6,6,6,1,0,BetaBuds,Audio,25,59.3,0.026,57.76,67.65,-14.62,30.1,0.798,9,519.82,294.82,56.72
6,6,6,1,0,GammaBand,Wearables,18,37.89,0.135,32.77,29.29,11.9,16.66,0.541,26,852.15,384.15,45.08
6,6,6,1,0,DeltaDock,Accessories,30,69.54,0.21,54.94,74.14,-25.9,14.02,0.588,3,164.81,74.81,45.39
6,6,6,1,0,EpsilonCam,Imaging,55,112.61,0.057,106.19,98.36,7.96,7.36,0.5,2,212.38,102.38,48.21
6,6,6,1,0,ZetaHub,Accessories,22,47.17,0.074,43.68,55.6,-21.44,146.54,1.5,83,3625.39,1799.39,49.63
6,6,6,1,0,EtaDesk,Furniture,80,189.87,0.072,176.2,202.17,-12.85,8.7,0.5,2,352.4,192.4,54.6
6,6,6,1,0,ThetaMat,Accessories,15,30.24,0.07,28.12,31.66,-11.17,31.94,0.585,37,1040.56,485.56,46.66
7,0,7,0,0,AlphaWatch,Wearables,40,101.69,0.107,90.81,111.32,-18.43,15.92,0.998,5,454.05,254.05,55.95
7,0,7,0,0,BetaBuds,Audio,25,67.25,0.06,63.22,61.69,2.47,25.63,0.69,5,316.08,191.08,60.45
7,0,7,0,0,GammaBand,Wearables,18,46.6,0.155,39.38,43.84,-10.18,62.92,1.078,22,866.29,470.29,54.29
7,0,7,0,0,DeltaDock,Accessories,30,75.58,0.116,66.81,78.52,-14.91,14.53,0.588,2,133.63,73.63,55.1
7,0,7,0,0,EpsilonCam,Imaging,55,119.92,0.072,111.29,109.31,1.81,22.87,0.878,4,445.14,225.14,50.58
7,0,7,0,0,ZetaHub,Accessories,22,38.83,0.162,32.54,42.19,-22.87,12.56,0.655,31,1008.73,326.73,32.39
7,0,7,0,0,EtaDesk,Furniture,80,201.52,0.004,200.71,215.34,-6.79,12.73,0.648,2,401.43,241.43,60.14
7,0,7,0,0,ThetaMat,Accessories,15,33.24,0.069,30.95,35.7,-13.32,35.79,0.907,25,773.66,398.66,51.53
8,1,8,0,0,AlphaWatch,Wearables,40,107.5,0.05,102.12,126.26,-19.12,3.61,0.647,2,204.25,124.25,60.83
8,1,8,0,0,BetaBuds,Audio,25,64.22,0.045,61.33,51.65,18.74,23.13,0.5,3,183.99,108.99,59.24
8,1,8,0,0,GammaBand,Wearables,18,40.17,0.044,38.4,36.1,6.38,16.29,0.5,12,460.83,244.83,53.13
8,1,8,0,0,DeltaDock,Accessories,30,53.9,0.026,52.5,72.34,-27.43,2.08,0.526,3,157.5,67.5,42.86
8,1,8,0,0,EpsilonCam,Imaging,55,97.74,0.242,74.09,113.77,-34.88,17.44,0.5,4,296.35,76.35,25.76
8,1,8,0,0,ZetaHub,Accessories,22,52.4,0.048,49.88,54.84,-9.04,0.82,0.698,4,199.54,111.54,55.9
8,1,8,0,0,EtaDesk,Furniture,80,157.45,0.095,142.49,168.75,-15.56,8.36,0.535,2,284.98,124.98,43.86
8,1,8,0,0,ThetaMat,Accessories,15,32.14,0.026,31.3,38.38,-18.44,16.42,0.5,25,782.61,407.61,52.08
9,2,9,0,0,AlphaWatch,Wearables,40,83.85,0.037,80.75,82.21,-1.78,88.96,1.16,10,807.48,407.48,50.46
9,2,9,0,0,BetaBuds,Audio,25,55.93,0.046,53.36,48.9,9.11,30.11,0.5,4,213.43,113.43,53.15
9,2,9,0,0,GammaBand,Wearables,18,37.45,0.112,33.26,27.18,22.35,24.24,0.785,27,897.9,411.9,45.87
9,2,9,0,0,DeltaDock,Accessories,30,74.37,0.048,70.8,75.0,-5.6,21.95,0.5,1,70.8,40.8,57.63
9,2,9,0,0,EpsilonCam,Imaging,55,115.05,0.09,104.7,128.47,-18.51,19.39,0.5,3,314.09,149.09,47.47
9,2,9,0,0,ZetaHub,Accessories,22,50.73,0.087,46.32,57.17,-18.98,3.38,0.5,4,185.27,97.27,52.5
9,2,9,0,0,EtaDesk,Furniture,80,206.97,0.039,198.9,230.57,-13.74,26.76,0.862,3,596.69,356.69,59.78
9,2,9,0,0,ThetaMat,Accessories,15,30.52,0.108,27.22,32.87,-17.18,49.28,1.002,41,1116.18,501.18,44.9
10,3,10,0,0,AlphaWatch,Wearables,40,111.32,0.016,109.54,133.86,-18.17,1.04,0.529,1,109.54,69.54,63.48
10,3,10,0,0,BetaBuds,Audio,25,67.91,0.012,67.1,80.61,-16.77,1.13,0.5,1,67.1,42.1,62.74
10,3,10,0,0,GammaBand,Wearables,18,47.29,0.195,38.07,42.52,-10.47,46.92,0.602,27,1027.85,541.85,52.72
10,3,10,0,0,DeltaDock,Accessories,30,84.73,0.111,75.32,94.16,-20.0,19.61,0.875,1,75.32,45.32,60.17
10,3,10,0,0,EpsilonCam,Imaging,55,131.83,0.035,127.22,122.17,4.13,10.16,0.5,1,127.22,72.22,56.77
10,3,10,0,0,ZetaHub,Accessories,22,48.47,0.232,37.22,55.68,-33.14,86.87,1.192,84,3126.9,1278.9,40.9
10,3,10,0,0,EtaDesk,Furniture,80,195.39,0.025,190.51,180.3,5.66,6.19,0.5,2,381.01,221.01,58.01
10,3,10,0,0,ThetaMat,Accessories,15,36.76,0.169,30.55,31.57,-3.24,7.6,0.658,15,458.21,233.21,50.9
11,4,11,0,0,AlphaWatch,Wearables,40,79.05,0.08,72.73,93.41,-22.14,24.01,0.863,7,509.08,229.08,45.0
11,4,11,0,0,BetaBuds,Audio,25,50.62,0.036,48.8,45.38,7.53,57.16,1.01,21,1024.75,499.75,48.77
11,4,11,0,0,GammaBand,Wearables,18,43.42,0.071,40.34,47.95,-15.88,32.23,0.892,41,1653.82,915.82,55.38
11,4,11,0,0,DeltaDock,Accessories,30,57.87,0.085,52.95,61.75,-14.25,5.26,0.607,2,105.9,45.9,43.34
11,4,11,0,0,EpsilonCam,Imaging,55,116.13,0.119,102.31,136.9,-25.27,3.39,0.566,1,102.31,47.31,46.24
11,4,11,0,0,ZetaHub,Accessories,22,42.16,0.053,39.93,38.06,4.9,10.74,0.535,7,279.48,125.48,44.9
11,4,11,0,0,EtaDesk,Furniture,80,210.15,0.075,194.39,235.53,-17.47,0.75,0.741,1,194.39,114.39,58.85
11,4,11,0,0,ThetaMat,Accessories,15,38.71,0.108,34.53,45.67,-24.39,9.58,0.776,11,379.82,214.82,56.56
12,5,12,1,0,AlphaWatch,Wearables,40,109.15,0.078,100.64,107.69,-6.55,9.11,0.629,3,301.91,181.91,60.25
12,5,12,1,0,BetaBuds,Audio,25,49.58,0.07,46.11,59.34,-22.3,70.79,1.198,32,1475.5,675.5,45.78
12,5,12,1,0,GammaBand,Wearables,18,47.76,0.035,46.09,46.62,-1.14,8.5,0.841,9,414.8,252.8,60.94
12,5,12,1,0,DeltaDock,Accessories,30,70.05,0.008,69.49,59.31,17.16,24.84,0.604,1,69.49,39.49,56.83
12,5,12,1,0,EpsilonCam,Imaging,55,112.1,0.057,105.71,133.99,-21.11,36.58,0.631,4,422.84,202.84,47.97
12,5,12,1,0,ZetaHub,Accessories,22,47.38,0.15,40.27,40.29,-0.04,5.41,0.5,14,563.82,255.82,45.37
12,5,12,1,0,EtaDesk,Furniture,80,152.44,0.072,141.46,179.7,-21.28,46.92,0.794,7,990.25,430.25,43.45
12,5,12,1,0,ThetaMat,Accessories,15,40.4,0.046,38.54,41.94,-8.1,49.98,1.244,37,1426.04,871.04,61.08
13,6,13,1,0,AlphaWatch,Wearables,40,96.51,0.017,94.87,104.04,-8.81,9.86,0.648,4,379.48,219.48,57.84
13,6,13,1,0,BetaBuds,Audio,25,62.96,0.057,59.37,64.29,-7.65,17.62,0.512,8,474.97,274.97,57.89
13,6,13,1,0,GammaBand,Wearables,18,48.56,0.147,41.42,50.4,-17.81,92.51,1.034,52,2153.93,1217.93,56.54
13,6,13,1,0,DeltaDock,Accessories,30,79.63,0.111,70.79,73.66,-3.89,25.76,0.671,3,212.37,122.37,57.62
13,6,13,1,0,EpsilonCam,Imaging,55,100.34,0.013,99.04,95.14,4.09,56.43,1.144,4,396.14,176.14,44.46
13,6,13,1,0,ZetaHub,Accessories,22,58.28,0.058,54.9,60.27,-8.91,46.62,0.68,13,713.7,427.7,59.93
13,6,13,1,0,EtaDesk,Furniture,80,224.82,0.064,210.43,257.58,-18.3,8.76,0.609,2,420.86,260.86,61.98
13,6,13,1,0,ThetaMat,Accessories,15,39.77,0.11,35.4,36.44,-2.87,6.1,0.552,20,707.91,407.91,57.62
14,0,14,0,0,AlphaWatch,Wearables,40,77.14,0.104,69.12,69.7,-0.84,6.76,0.5,3,207.35,87.35,42.13
14,0,14,0,0,BetaBuds,Audio,25,64.12,0.056,60.53,75.61,-19.95,28.86,1.041,13,786.88,461.88,58.7
14,0,14,0,0,GammaBand,Wearables,18,37.99,0.136,32.82,45.95,-28.57,3.38,0.5,18,590.82,266.82,45.16
14,0,14,0,0,DeltaDock,Accessories,30,66.98,0.033,64.77,67.74,-4.38,43.1,0.945,3,194.31,104.31,53.68
14,0,14,0,0,EpsilonCam,Imaging,55,116.92,0.013,115.4,119.16,-3.16,14.76,0.5,2,230.8,120.8,52.34
14,0,14,0,0,ZetaHub,Accessories,22,53.07,0.0,53.07,49.87,6.42,59.71,0.895,11,583.77,341.77,58.55
14,0,14,0,0,EtaDesk,Furniture,80,179.88,0.048,171.25,190.65,-10.18,50.3,1.004,5,856.23,456.23,53.28
14,0,14,0,0,ThetaMat,Accessories,15,29.19,0.05,27.73,27.16,2.1,11.01,0.5,15,415.96,190.96,45.91
15,1,15,0,0,AlphaWatch,Wearables,40,91.55,0.168,76.17,83.37,-8.64,6.01,0.5,4,304.68,144.68,47.49
15,1,15,0,0,BetaBuds,Audio,25,58.61,0.07,54.51,52.12,4.58,27.61,0.751,5,272.54,147.54,54.13
15,1,15,0,0,GammaBand,Wearables,18,50.04,0.135,43.28,54.57,-20.68,45.5,0.775,26,1125.4,657.4,58.41
15,1,15,0,0,DeltaDock,Accessories,30,65.68,0.062,61.61,70.89,-13.09,59.59,0.886,5,308.04,158.04,51.3
15,1,15,0,0,EpsilonCam,Imaging,55,121.48,0.118,107.15,119.61,-10.42,132.15,1.5,15,1607.18,782.18,48.67
15,1,15,0,0,ZetaHub,Accessories,22,63.35,0.054,59.93,57.6,4.04,25.91,0.636,6,359.57,227.57,63.29
15,1,15,0,0,EtaDesk,Furniture,80,155.64,0.03,150.97,151.73,-0.5,2.1,0.5,1,150.97,70.97,47.01
15,1,15,0,0,ThetaMat,Accessories,15,34.41,0.037,33.14,35.34,-6.23,39.35,1.12,41,1358.61,743.61,54.73
16,2,16,0,0,AlphaWatch,Wearables,40,77.09,0.2,61.67,79.65,-22.57,42.34,0.717,9,555.05,195.05,35.14
16,2,16,0,0,BetaBuds,Audio,25,46.0,0.188,37.35,55.3,-32.46,55.36,1.078,40,1494.08,494.08,33.07
16,2,16,0,0,GammaBand,Wearables,18,46.26,0.058,43.58,48.44,-10.04,2.75,0.5,12,522.92,306.92,58.69
16,2,16,0,0,DeltaDock,Accessories,30,66.75,0.075,61.74,78.97,-21.81,57.2,0.976,5,308.72,158.72,51.41
16,2,16,0,0,EpsilonCam,Imaging,55,143.87,0.015,141.71,137.11,3.36,5.72,0.5,1,141.71,86.71,61.19
16,2,16,0,0,ZetaHub,Accessories,22,58.91,0.111,52.37,76.49,-31.53,43.42,0.817,16,837.94,485.94,57.99
16,2,16,0,0,EtaDesk,Furniture,80,144.87,0.009,143.57,130.16,10.3,101.29,1.424,10,1435.66,635.66,44.28
16,2,16,0,0,ThetaMat,Accessories,15,29.29,0.055,27.68,28.35,-2.37,1.9,0.578,12,332.15,152.15,45.81
17,3,17,0,0,AlphaWatch,Wearables,40,79.6,0.12,70.05,86.04,-18.59,1.93,0.54,3,210.14,90.14,42.9
17,3,17,0,0,BetaBuds,Audio,25,56.09,0.017,55.14,64.45,-14.45,17.92,0.573,8,441.09,241.09,54.66
17,3,17,0,0,GammaBand,Wearables,18,31.77,0.125,27.8,19.8,40.4,9.03,0.5,18,500.38,176.38,35.25
17,3,17,0,0,DeltaDock,Accessories,30,64.77,0.028,62.96,62.29,1.07,40.11,0.5,2,125.91,65.91,52.35
17,3,17,0,0,EpsilonCam,Imaging,55,148.6,0.046,141.76,165.22,-14.2,17.27,0.746,3,425.29,260.29,61.2
17,3,17,0,0,ZetaHub,Accessories,22,54.59,0.038,52.52,60.53,-13.24,2.07,0.5,4,210.06,122.06,58.11
17,3,17,0,0,EtaDesk,Furniture,80,148.45,0.02,145.48,130.44,11.53,0.37,0.5,1,145.48,65.48,45.01
17,3,17,0,0,ThetaMat,Accessories,15,29.95,0.158,25.22,31.35,-19.56,9.24,0.668,31,781.75,316.75,40.52
18,4,18,0,0,AlphaWatch,Wearables,40,104.44,0.08,96.08,96.8,-0.74,103.72,1.268,15,1441.27,841.27,58.37
18,4,18,0,0,BetaBuds,Audio,25,63.59,0.008,63.08,62.66,0.67,78.97,1.069,8,504.65,304.65,60.37
18,4,18,0,0,GammaBand,Wearables,18,36.41,0.03,35.32,41.42,-14.73,31.14,0.889,27,953.58,467.58,49.03
18,4,18,0,0,DeltaDock,Accessories,30,81.39,0.061,76.43,90.08,-15.16,5.86,0.598,1,76.43,46.43,60.75
18,4,18,0,0,EpsilonCam,Imaging,55,116.19,0.152,98.53,128.63,-23.4,23.44,0.731,6,591.17,261.17,44.18
18,4,18,0,0,ZetaHub,Accessories,22,52.5,0.03,50.92,54.54,-6.63,0.28,0.627,3,152.77,86.78,56.8
18,4,18,0,0,EtaDesk,Furniture,80,171.01,0.071,158.87,183.41,-13.38,6.25,0.732,2,317.74,157.74,49.64
18,4,18,0,0,ThetaMat,Accessories,15,30.6,0.225,23.72,27.46,-13.64,65.2,0.789,129,3059.24,1124.24,36.75
19,5,19,1,0,AlphaWatch,Wearables,40,73.95,0.128,64.48,87.16,-26.02,2.55,0.753,6,386.91,146.91,37.97
19,5,19,1,0,BetaBuds,Audio,25,51.73,0.037,49.82,49.3,1.05,2.29,0.686,7,348.71,173.71,49.82
19,5,19,1,0,GammaBand,Wearables,18,34.02,0.098,30.69,24.37,25.92,9.47,0.806,29,889.9,367.9,41.34
19,5,19,1,0,DeltaDock,Accessories,30,72.25,0.007,71.74,72.56,-1.12,69.59,1.26,3,215.23,125.23,58.18
19,5,19,1,0,EpsilonCam,Imaging,55,101.06,0.012,99.85,91.16,9.53,107.34,1.325,12,1198.17,538.17,44.92
19,5,19,1,0,ZetaHub,Accessories,22,47.72,0.075,44.14,41.75,5.73,49.47,0.5,20,882.82,442.82,50.16
19,5,19,1,0,EtaDesk,Furniture,80,159.73,0.051,151.58,192.93,-21.43,2.72,0.508,2,303.17,143.17,47.22
19,5,19,1,0,ThetaMat,Accessories,15,30.71,0.165,25.64,39.16,-34.52,2.57,0.5,30,769.29,319.29,41.5
20,6,20,1,0,AlphaWatch,Wearables,40,108.21,0.067,100.96,129.01,-21.74,2.04,0.5,2,201.92,121.92,60.38
20,6,20,1,0,BetaBuds,Audio,25,56.76,0.039,54.55,56.23,-2.99,4.6,0.5,5,272.73,147.73,54.17
20,6,20,1,0,GammaBand,Wearables,18,35.08,0.114,31.08,32.73,-5.04,46.76,0.766,52,1616.21,680.21,42.09
20,6,20,1,0,DeltaDock,Accessories,30,78.42,0.077,72.38,83.99,-13.82,40.0,0.727,4,289.53,169.53,58.55
20,6,20,1,0,EpsilonCam,Imaging,55,139.4,0.179,114.45,124.13,-7.8,15.23,0.645,3,343.34,178.34,51.94
20,6,20,1,0,ZetaHub,Accessories,22,61.16,0.079,56.33,69.24,-18.65,29.4,0.599,17,957.58,583.58,60.94
20,6,20,1,0,EtaDesk,Furniture,80,221.88,0.106,198.36,206.58,-3.98,59.82,1.279,5,991.8,591.8,59.67
20,6,20,1,0,ThetaMat,Accessories,15,30.55,0.106,27.31,31.32,-12.8,73.95,1.076,77,2103.0,948.0,45.08
21,0,21,0,0,AlphaWatch,Wearables,40,104.7,0.141,89.94,106.4,-15.47,28.66,0.742,5,449.69,249.69,55.52
21,0,21,0,0,BetaBuds,Audio,25,58.49,0.075,54.1,49.21,9.94,24.61,0.974,8,432.83,232.83,53.79
21,0,21,0,0,GammaBand,Wearables,18,48.09,0.064,45.01,56.78,-20.73,11.32,0.792,7,315.09,189.09,60.01
21,0,21,0,0,DeltaDock,Accessories,30,65.37,0.028,63.54,71.94,-11.68,3.18,0.5,1,63.54,33.54,52.79
21,0,21,0,0,EpsilonCam,Imaging,55,137.54,0.059,129.43,138.3,-6.42,116.05,1.332,5,647.13,372.13,57.5
21,0,21,0,0,ZetaHub,Accessories,22,42.74,0.169,35.52,50.42,-29.56,9.82,0.788,18,639.3,243.3,38.06
21,0,21,0,0,EtaDesk,Furniture,80,171.6,0.123,150.49,198.72,-24.27,43.58,0.958,8,1203.95,563.95,46.84
21,0,21,0,0,ThetaMat,Accessories,15,26.62,0.079,24.52,23.85,2.8,23.73,0.736,45,1103.27,428.27,38.82
22,1,22,0,0,AlphaWatch,Wearables,40,110.99,0.078,102.33,104.39,-1.97,72.5,1.215,6,614.0,374.0,60.91
22,1,22,0,0,BetaBuds,Audio,25,67.5,0.08,62.1,68.21,-8.96,3.05,0.5,2,124.2,74.2,59.74
22,1,22,0,0,GammaBand,Wearables,18,34.64,0.058,32.63,45.39,-28.11,6.15,0.536,17,554.72,248.72,44.84
22,1,22,0,0,DeltaDock,Accessories,30,77.91,0.099,70.2,89.0,-21.13,27.41,0.768,3,210.59,120.59,57.26
22,1,22,0,0,EpsilonCam,Imaging,55,119.8,0.087,109.38,128.79,-15.07,27.63,0.71,6,656.26,326.26,49.72
22,1,22,0,0,ZetaHub,Accessories,22,43.12,0.075,39.89,42.55,-6.26,20.06,0.731,30,1196.58,536.58,44.84
22,1,22,0,0,EtaDesk,Furniture,80,144.92,0.04,139.12,143.19,-2.84,1.4,0.5,1,139.12,59.12,42.5
22,1,22,0,0,ThetaMat,Accessories,15,35.09,0.089,31.97,34.16,-6.42,0.17,0.664,7,223.77,118.77,53.08
23,2,23,0,0,AlphaWatch,Wearables,40,88.56,0.08,81.48,76.55,6.43,12.7,0.767,3,244.43,124.43,50.91
23,2,23,0,0,BetaBuds,Audio,25,57.21,0.051,54.29,62.38,-12.97,28.09,0.872,11,597.22,322.22,53.95
23,2,23,0,0,GammaBand,Wearables,18,35.79,0.021,35.04,34.55,1.41,14.53,0.5,14,490.54,238.54,48.63
23,2,23,0,0,DeltaDock,Accessories,30,57.63,0.006,57.28,61.97,-7.56,34.06,0.96,4,229.14,109.14,47.63
23,2,23,0,0,EpsilonCam,Imaging,55,144.36,0.136,124.73,169.39,-26.37,2.06,0.5,1,124.73,69.73,55.9
23,2,23,0,0,ZetaHub,Accessories,22,48.85,0.167,40.69,56.19,-27.58,31.69,0.835,35,1424.22,654.22,45.94
23,2,23,0,0,EtaDesk,Furniture,80,216.03,0.198,173.26,245.06,-29.3,58.47,0.967,9,1559.3,839.3,53.83
23,2,23,0,0,ThetaMat,Accessories,15,36.4,0.03,35.31,37.51,-5.87,16.89,0.5,20,706.16,406.16,57.52
24,3,24,0,0,AlphaWatch,Wearables,40,69.48,0.021,68.02,73.11,-6.96,27.93,0.548,5,340.1,140.1,41.19
24,3,24,0,0,BetaBuds,Audio,25,57.15,0.056,53.95,66.43,-18.79,14.55,0.5,10,539.5,289.5,53.66
24,3,24,0,0,GammaBand,Wearables,18,49.61,0.079,45.69,51.64,-11.52,52.58,0.922,13,593.98,359.98,60.6
24,3,24,0,0,DeltaDock,Accessories,30,74.39,0.032,72.01,85.69,-15.97,17.42,0.5,1,72.01,42.01,58.34
24,3,24,0,0,EpsilonCam,Imaging,55,143.44,0.025,139.85,153.31,-8.78,4.5,0.849,2,279.71,169.71,60.67
24,3,24,0,0,ZetaHub,Accessories,22,52.47,0.075,48.53,41.5,16.95,19.36,0.5,9,436.81,238.81,54.67
24,3,24,0,0,EtaDesk,Furniture,80,215.57,0.052,204.36,191.48,6.73,47.43,0.988,2,408.72,248.72,60.85
24,3,24,0,0,ThetaMat,Accessories,15,34.56,0.087,31.55,37.05,-14.84,10.1,0.68,49,1546.11,811.11,52.46
25,4,25,0,0,AlphaWatch,Wearables,40,106.45,0.05,101.13,122.17,-17.22,43.38,0.945,5,505.64,305.64,60.45
25,4,25,0,0,BetaBuds,Audio,25,46.29,0.075,42.82,50.63,-15.43,29.55,1.04,22,942.0,392.0,41.61
25,4,25,0,0,GammaBand,Wearables,18,37.95,0.082,34.84,37.64,-7.44,94.71,1.432,87,3030.91,1464.91,48.33
25,4,25,0,0,DeltaDock,Accessories,30,78.28,0.084,71.7,91.08,-21.27,56.11,0.853,3,215.11,125.11,58.16
25,4,25,0,0,EpsilonCam,Imaging,55,99.14,0.05,94.18,111.39,-15.45,88.52,0.954,9,847.65,352.65,41.6
25,4,25,0,0,ZetaHub,Accessories,22,40.42,0.029,39.25,36.41,7.79,7.93,0.697,11,431.73,189.73,43.95
